date,nav,AI23_mv,AI23_pct,QC_mv,QC_pct
2026-03-26,100000.00,,,,
2026-03-27,100000.00,,,,
2026-03-30,100000.00,,,,
2026-03-31,99983.95,,,,
2026-04-06,99983.05,7941.24,7.94,8105.58,8.11
2026-04-07,99983.05,7941.24,7.94,8105.58,8.11
2026-04-08,99983.05,7941.24,7.94,8105.58,8.11
2026-04-09,99983.05,7941.24,7.94,8105.58,8.11
2026-04-10,99983.05,7941.24,7.94,8105.58,8.11
2026-04-13,99983.05,7941.24,7.94,8105.58,8.11
2026-04-14,99983.05,7941.24,7.94,8105.58,8.11
2026-04-15,99983.05,7941.24,7.94,8105.58,8.11
2026-04-16,99950.86,7941.24,7.95,8105.58,8.11
2026-04-17,101536.21,15997.26,15.76,15997.22,15.76
